Age,Income,Number of Children,Gender Encoded,Marital Status Encoded,Home Ownership Encoded,Education_BACHELOR'S DEGREE,Education_DOCTORATE,Education_HIGH SCHOOL DIPLOMA,Education_MASTER'S DEGREE
33,8000000.0,2,0,0,0,0,0,0,1
35,8000000.0,1,0,0,0,0,1,0,0
33,2750000.0,0,0,1,1,0,0,1,0
39,6250000.0,2,0,0,0,1,0,0,0
34,4750000.0,0,1,1,1,0,0,0,0
45,10000000.0,3,0,0,0,1,0,0,0
25,6000000.0,0,0,1,1,1,0,0,0
31,6500000.0,0,1,1,1,1,0,0,0
42,12500000.0,0,1,0,0,0,0,0,0
42,9250000.0,0,1,1,0,0,0,0,1
45,10500000.0,3,0,0,0,1,0,0,0
46,10250000.0,1,0,0,0,0,0,1,0
33,4750000.0,0,1,1,1,0,0,0,0
41,11500000.0,0,1,1,0,0,1,0,0
38,6750000.0,2,0,0,0,1,0,0,0
51,14000000.0,0,1,0,0,1,0,0,0
42,10000000.0,0,1,1,0,0,0,0,1
33,7250000.0,2,0,0,0,1,0,0,0
50,15500000.0,0,1,0,0,0,0,0,1
49,7750000.0,1,0,0,0,0,1,0,0
33,5750000.0,0,0,1,1,1,0,0,0
53,12250000.0,0,1,0,0,0,0,0,0
39,6000000.0,2,0,0,0,1,0,0,0
41,11000000.0,0,1,1,0,0,1,0,0
52,13750000.0,0,1,0,0,0,0,1,0
45,11500000.0,3,0,0,0,1,0,0,0
35,9000000.0,1,0,0,0,0,1,0,0
42,8750000.0,0,1,1,0,0,0,0,1
26,5500000.0,1,0,0,0,1,0,0,0
49,7750000.0,1,0,0,0,0,1,0,0
43,9250000.0,0,1,1,0,0,0,0,1
35,9000000.0,1,0,0,0,0,1,0,0
36,9000000.0,2,0,0,0,0,0,0,1
33,5250000.0,0,1,1,1,0,0,1,0
36,9500000.0,2,0,0,0,0,0,0,1
25,5500000.0,0,0,1,1,1,0,0,0
52,13500000.0,0,1,0,0,0,0,1,0
